ticker,close,open,high,low,volume,change_%,value_traded,rvol,atr,perf_1m,perf_3m,volatility,tarih,z_vol,z_range,z_lambda,z_flow,shock_count,is_fresh_shock,shock_score,regime,score_diff
MANAS,33.22,33.18,34.9,31.66,74501203.0,0.0602409638554097,2474929963.66,3.442732788471667,1.0,22.222222222222218,30.479183032207374,10.233733417561586,2026-08-31,5.37,5.6,0.0,0.02,2,False,65.8,🚀 KISMİ HACİM & MENZİL İVMESİ,0.0
MARTI,1.7,1.55,1.7,1.47,187626774.0,9.677419354838705,318965515.8,2.169964414111312,1.0,16.438356164383563,-14.572864321608042,15.646258503401361,2026-08-31,2.57,-1.93,0.53,3.37,2,False,65.5,🚀 KISMİ HACİM & MENZİL İVMESİ,0.0
ODINE,1991.0,1757.0,2000.0,1730.0,524702.0,8.797814207650273,1044681682.0,0.7046822985475166,1.0,-5.2356020942408374,56.402199528672426,15.606936416184972,2026-08-31,-0.65,6.0,0.16,3.61,2,True,63.5,🚀 KISMİ HACİM & MENZİL İVMESİ,0.0
KRDMB,136.6,133.1,139.4,133.1,3519619.0,2.9389600602863646,480779955.4,1.6449436599555642,1.0,3.094339622641505,19.301310043668117,5.033809166040584,2026-08-31,1.42,6.0,0.12,1.24,1,True,63.5,NÖTR REJİM,0.0
OZATD,4860.0,4932.5,4932.5,4812.5,2747691.0,0.8298755186721992,13353778260.0,4.662622670632492,1.0,28.232189973614776,250.64935064935065,2.4935064935064934,2026-08-31,6.0,6.0,0.0,0.0,2,False,63.4,🚀 KISMİ HACİM & MENZİL İVMESİ,0.0
TARKM,563.5,547.5,584.0,542.0,310232.0,1.7148014440433215,174815732.0,1.3664218196200928,1.0,20.857908847184987,0.7149240393208222,7.749077490774908,2026-08-31,0.81,6.0,0.19,0.74,1,True,61.8,NÖTR REJİM,0.0
TBORG,162.4,161.0,163.5,157.6,489072.0,3.1111111111111147,79425292.8,0.9410455381670555,1.0,25.79395817195973,19.14893617021276,3.8071065989847717,2026-08-31,-0.13,6.0,0.66,1.81,1,False,61.6,NÖTR REJİM,0.0
PETUN,12.0,11.48,12.69,11.36,17587787.0,3.9861351819757447,211053444.0,9.771526954584633,1.0,11.731843575418992,-8.186687069625098,11.70774647887324,2026-08-31,6.0,0.83,0.35,0.7,1,True,60.0,NÖTR REJİM,0.0
RGYAS,214.6,213.5,216.1,212.0,3021335.0,0.9882352941176444,648378491.0,1.451281078276909,1.0,6.766169154228853,9.713701431492844,1.9339622641509406,2026-08-31,0.99,6.0,0.03,1.07,1,True,59.7,NÖTR REJİM,0.0
PINSU,10.74,10.31,11.25,10.28,18696202.0,4.170708050436466,200797209.48,6.930678835901715,1.0,3.86847195357834,-7.333908541846417,9.435797665369655,2026-08-31,6.0,-0.07,0.38,0.8,1,True,58.6,NÖTR REJİM,0.0
BAHKM,160.9,158.0,164.0,152.1,1786326.0,0.8777429467084674,287419853.40000004,1.129223574795576,1.0,35.210084033613455,44.04655326768129,7.823800131492442,2026-08-31,0.28,6.0,0.06,1.49,1,False,57.6,NÖTR REJİM,0.0
SELEC,334.75,332.75,341.75,330.75,9328846.0,0.5255255255255256,3122831198.5,1.5404719067299786,1.0,57.159624413145536,236.4321608040201,3.325774754346183,2026-08-31,1.19,6.0,0.0,0.33,1,False,56.6,NÖTR REJİM,0.0
MAKTK,10.71,10.45,11.34,10.36,12925730.0,2.684563758389273,138434568.3,2.8009723473288517,1.0,9.397344228804922,-20.54896142433234,9.459459459459465,2026-08-31,3.96,-0.05,0.35,0.48,1,False,55.9,NÖTR REJİM,0.0
AKHAN,41.24,40.36,42.0,40.24,2532189.0,2.0792079207920877,104427474.36,1.2819631526892485,1.0,-5.629290617848972,33.46278317152105,4.373757455268384,2026-08-31,0.62,1.9,0.36,1.2,1,True,55.1,NÖTR REJİM,0.0
PAPIL,13.96,13.68,14.43,13.22,18750557.0,2.0467836257310026,261757775.72000003,2.1650740604801606,1.0,19.725557461406524,-11.19592875318066,9.15279878971255,2026-08-31,2.56,0.52,0.15,0.91,1,False,54.3,NÖTR REJİM,0.0
BRKVY,86.75,87.2,89.95,85.15,843074.0,2.0588235294117645,73136669.5,1.291770672147502,1.0,16.59946236559139,-10.42849767681982,5.8132706987668845,2026-08-31,0.64,6.0,0.5,0.0,1,False,54.3,NÖTR REJİM,0.0
AYGAZ,334.5,332.0,337.0,330.75,1050282.0,1.7490494296577948,351319329.0,0.9054006874025339,1.0,27.915869980879542,37.03400245800901,2.494331065759637,2026-08-31,-0.21,6.0,0.1,1.16,1,False,53.7,NÖTR REJİM,0.0
EBEBK,84.9,84.6,85.6,83.75,1023017.0,0.3546099290780277,86854143.30000001,1.6091761469633166,1.0,0.8313539192399083,1.7375674056321184,2.20895522388059,2026-08-31,1.34,2.12,0.08,0.83,1,True,52.8,NÖTR REJİM,0.0
TERA,186.0,185.9,192.9,185.9,19056750.0,0.2695417789757413,3544555500.0,1.1807794222931933,1.0,8.518086347724617,-7.046476761619188,3.980634749865522,2026-08-31,0.4,6.0,0.0,0.03,1,True,51.9,NÖTR REJİM,0.0
SMRTG,10.39,10.15,10.6,9.92,35483119.0,2.4654832347140037,368669606.41,1.8773925159881661,1.0,-6.227436823104688,-14.132231404958672,6.854838709677416,2026-08-31,1.93,-0.8,0.13,1.48,1,False,50.6,NÖTR REJİM,0.0
VESBE,5.36,5.3,5.71,5.25,37117012.0,1.3232514177693815,198947184.32000002,3.9438392876818886,1.0,-7.903780068728522,-21.75182481751824,8.761904761904763,2026-08-31,6.0,-1.35,0.13,0.23,1,False,49.5,NÖTR REJİM,0.0
AHGAZ,38.08,38.2,38.84,36.72,6906554.0,0.2105263157894692,263001576.32,1.3186714280646445,1.0,14.560770156438016,17.821782178217816,5.773420479302845,2026-08-31,0.7,2.8,0.02,0.62,1,True,49.5,NÖTR REJİM,0.0
KCHOL,214.9,214.6,217.8,213.7,29019702.0,0.420560747663554,6236333959.8,0.9954178203901781,1.0,11.868818323789698,14.430244941427047,1.9185774450163888,2026-08-31,-0.01,6.0,0.0,0.13,1,True,49.5,NÖTR REJİM,0.0
CATES,69.6,69.0,72.0,65.9,2279638.0,1.6800584368151812,158662804.79999998,0.6007491846763022,1.0,51.56794425087106,72.7047146401985,9.256449165402115,2026-08-31,-0.88,6.0,0.2,0.65,1,False,49.2,NÖTR REJİM,0.0
EUPWR,106.7,105.7,109.3,105.7,13648603.0,1.1374407582938415,1456305940.1000001,0.8195918744899012,1.0,24.21420256111757,40.95112285336856,3.5950804162724666,2026-08-31,-0.4,6.0,0.02,0.5,1,False,48.7,NÖTR REJİM,0.0
KARSN,9.96,9.75,10.07,9.52,28925479.0,2.1538461538461626,288097770.84000003,1.5767769421758724,1.0,-0.20040080160320214,-24.545454545454533,5.777310924369756,2026-08-31,1.27,-1.12,0.14,2.01,1,False,48.4,NÖTR REJİM,0.0
CANTE,1.39,1.32,1.43,1.31,1371378909.0,6.923076923076913,1906216683.5099998,5.702946486256483,1.0,16.806722689075627,-9.740259740259749,9.923664122137396,2026-08-31,6.0,-2.0,0.07,1.78,1,True,48.3,NÖTR REJİM,0.0
RALYH,267.25,265.75,269.5,264.0,1479264.0,0.5644402634054563,395333304.0,0.6398964028667423,1.0,13.965884861407249,22.087711283691178,2.0833333333333335,2026-08-31,-0.79,6.0,0.03,0.89,1,True,47.2,NÖTR REJİM,0.0
ZOREN,2.35,2.31,2.47,2.27,150557619.0,1.731601731601733,353810404.65000004,5.091650447257883,1.0,-0.423728813559313,-23.452768729641686,8.810572687224678,2026-08-31,6.0,-2.0,0.1,0.36,1,False,46.3,NÖTR REJİM,0.0
ENERY,9.88,9.84,10.39,9.64,66308858.0,0.5086469989827133,655131517.0400001,2.223444875300336,1.0,8.096280087527354,12.272727272727272,7.780082987551867,2026-08-31,2.69,-0.62,0.02,0.1,1,True,46.2,NÖTR REJİM,0.0
KRDMD,47.56,46.68,47.96,46.56,76528249.0,2.016302016302027,3639683522.44,1.0607958433572047,1.0,15.49295774647888,16.170004885197862,3.006872852233674,2026-08-31,0.13,1.0,0.01,2.07,1,True,45.5,NÖTR REJİM,0.0
MRGYO,1.62,1.62,1.67,1.5,231238848.0,0.6211180124223608,374606933.76000005,2.180723888563764,1.0,24.61538461538462,-5.813953488372085,11.333333333333329,2026-08-31,2.6,-2.0,0.03,0.91,1,False,43.9,NÖTR REJİM,0.0
DEVA,93.4,93.3,94.1,92.15,811298.0,1.9650655021834187,75775233.2,0.5543434174477982,1.0,28.916494133885443,43.6923076923077,2.7129679869777537,2026-08-31,-0.98,2.37,0.46,0.71,1,False,43.0,NÖTR REJİM,0.0
TUPRS,401.75,406.0,406.25,397.25,30604326.0,1.452020202020202,12295287970.5,1.024858652286383,1.0,39.49652777777778,66.1497105045492,2.580239144115796,2026-08-31,0.05,6.0,0.0,0.0,1,False,42.1,NÖTR REJİM,0.0
BORSK,6.25,6.18,6.38,6.13,10284641.0,1.1326860841423994,64279006.25,1.6051285060640392,1.0,7.204116638078901,-3.8461538461538463,4.078303425774878,2026-08-31,1.33,-1.88,0.32,0.5,0,True,37.8,NÖTR REJİM,0.0
METRO,8.81,8.71,9.0,8.59,9852268.0,1.1481056257175617,86798481.08,1.3306687546918934,1.0,17.310252996005335,13.093709884467271,4.772991850989524,2026-08-31,0.73,-1.47,0.25,0.6,0,True,36.2,NÖTR REJİM,0.0
ORGE,24.24,24.18,25.0,23.54,8143517.0,0.6644518272425255,197398852.07999998,0.951742029047135,1.0,17.669902912621342,10.081743869209804,6.202209005947328,2026-08-31,-0.11,1.15,0.07,0.07,0,True,32.8,NÖTR REJİM,0.0
